date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:04:12	479/479	---MCZ	200	added ('OK')	text/plain	etag:cacheable:7d875f64401860b0af067164dafea548	https://liquidationdeals.ca/robots.txt		(from )
01:04:12	280295/280295	---MCZ	200	added ('OK')	text/html	etag:cacheable:b67fa11d112a5e2ec59a61f061aa2372	https://liquidationdeals.ca/	C:/My%20Web%20Sites/https___liquidationdeals.ca_/liquidationdeals.ca/index.html	(from )
01:04:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Aug%202022%2000:04:13%20GMT	http://cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_49a14733-a38c-41e1-824d-9f80611df38f_32x32.jpg?v=1605886936	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_49a14733-a38c-41e1-824d-9f80611df38f_32x32.06fe6.delayed	(from https://liquidationdeals.ca/)
01:04:14	1252/1252	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Aug%202022%2000:04:15%20GMT	https://cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_49a14733-a38c-41e1-824d-9f80611df38f_32x32.jpg?v=1605886936	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/files/logo-liquidationdeals.ca_49a14733-a38c-41e1-824d-9f80611df38f_32x326fe6.jpg	(from https://liquidationdeals.ca/)
01:04:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Aug%202022%2000:04:15%20GMT	http://cdn.shopify.com/s/files/1/0266/6024/1596/t/8/assets/verdor.min.css?v=153669543579119564441608942937	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/t/8/assets/verdor.min851c.css	(from https://liquidationdeals.ca/)
01:04:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Aug%202022%2000:04:16%20GMT	http://cdn.shopify.com/s/files/1/0266/6024/1596/t/8/assets/style.scss.css?v=128960101315246824581615908461	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/t/8/assets/style.scss323e.css	(from https://liquidationdeals.ca/)
01:04:16	234662/234662	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2019:47:33%20GMT	https://cdn.shopify.com/s/files/1/0266/6024/1596/t/8/assets/verdor.min.css?v=153669543579119564441608942937	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/t/8/assets/verdor.min851c.css	(from https://liquidationdeals.ca/)
01:04:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Aug%202022%2000:04:17%20GMT	http://cdn.shopify.com/s/files/1/0266/6024/1596/t/8/assets/styles-responsive.scss.css?v=44865358305764187711615908461	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/t/8/assets/styles-responsive.scssb995.css	(from https://liquidationdeals.ca/)
01:04:17	242049/242049	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2019:47:34%20GMT	https://cdn.shopify.com/s/files/1/0266/6024/1596/t/8/assets/style.scss.css?v=128960101315246824581615908461	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/t/8/assets/style.scss323e.css	(from https://liquidationdeals.ca/)
01:04:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Aug%202022%2000:04:18%20GMT	http://cdn.shopify.com/s/files/1/0266/6024/1596/t/8/assets/jquery.min.js?v=157300071078515812641608942930	C:/My%20Web%20Sites/https___liquidationdeals.ca_/cdn.shopify.com/s/files/1/0266/6024/1596/t/8/assets/jquery.min8770.js	(from https://liquidationdeals.ca/)
